Year,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Target
1864,0,0,0,0,1,0,0,1,1,0,0,0,1
1868,1,1,0,0,0,0,1,1,1,0,1,0,1
1872,1,1,0,0,1,0,1,0,0,0,1,0,1
1880,1,0,0,1,0,0,1,1,0,0,0,0,1
1888,0,0,0,0,1,0,0,0,0,0,0,0,1
1900,0,1,0,0,1,0,1,0,0,0,0,1,1
1904,1,1,0,0,1,0,1,0,0,0,1,0,1
1908,1,1,0,0,0,1,0,1,0,0,0,0,1
1916,0,0,0,0,1,0,0,1,0,0,0,0,1
1924,0,1,1,0,1,0,1,1,0,1,0,0,1
1928,1,1,0,0,0,0,1,0,0,0,0,0,1
1936,0,1,0,0,1,1,1,1,0,0,1,0,1
1940,1,1,0,0,1,1,1,1,0,0,1,0,1
1944,1,1,0,0,1,0,1,1,0,0,1,0,1
1948,1,1,1,0,1,0,0,1,0,0,0,0,1
1956,0,1,0,0,1,0,1,0,0,0,1,0,1
1964,0,0,0,0,1,0,1,0,0,0,0,0,1
1972,0,0,0,0,1,0,0,1,1,0,0,0,1
1860,1,0,1,1,0,0,1,0,1,0,0,0,0
1876,1,1,0,1,0,1,0,0,0,1,0,0,0
1884,1,0,0,1,0,0,1,0,1,0,1,0,0
1892,0,0,1,0,1,0,0,1,1,0,0,1,0
1896,0,0,0,1,0,1,0,1,1,0,1,0,0
1912,1,1,1,1,1,0,1,0,0,0,0,0,0
1920,1,0,0,1,0,1,0,1,1,0,0,0,0
1932,1,1,0,0,1,1,0,0,1,0,0,1,0
1952,1,0,0,1,0,0,0,0,0,1,0,1,0
1960,1,1,0,0,0,1,0,0,0,0,0,1,0
1968,1,1,1,1,0,0,1,1,1,0,0,0,0
1976,1,1,0,1,1,0,0,0,0,1,0,0,0
1980,0,0,1,1,1,1,1,0,0,1,0,1,0
